Date,Value
2015-12-31,164132.0
2015-12-30,181836.0
2015-12-29,187040.0
2015-12-28,166837.0
2015-12-27,156554.0
2015-12-26,170904.0
2015-12-25,184124.0
2015-12-24,227189.0
2015-12-23,221289.0
2015-12-22,223130.0
2015-12-21,222112.0
2015-12-20,191441.0
2015-12-19,216944.0
2015-12-18,214387.0
2015-12-17,219600.0
2015-12-16,222531.0
2015-12-15,227706.0
2015-12-14,221499.0
2015-12-13,186151.0
2015-12-12,211456.0
2015-12-11,211198.0
2015-12-10,211452.0
2015-12-09,222503.0
2015-12-08,192097.0
2015-12-07,185788.0
2015-12-06,179777.0
2015-12-05,200213.0
2015-12-04,160944.0
2015-12-03,170317.0
2015-12-02,177277.0
2015-12-01,184404.0
2015-11-30,172183.0
2015-11-29,130758.0
2015-11-28,171602.0
2015-11-27,156739.0
2015-11-26,164730.0
2015-11-25,152463.0
2015-11-24,150056.0
2015-11-23,142698.0
2015-11-22,126564.0
2015-11-21,158852.0
2015-11-20,155128.0
2015-11-19,154561.0
2015-11-18,168587.0
2015-11-17,158254.0
2015-11-16,150942.0
2015-11-15,138467.0
2015-11-14,156065.0
2015-11-13,156988.0
2015-11-12,154219.0
2015-11-11,171159.0
2015-11-10,154030.0
2015-11-09,152795.0
2015-11-08,134785.0
2015-11-07,161595.0
2015-11-06,165214.0
2015-11-05,189326.0
2015-11-04,211121.0
2015-11-03,178027.0
2015-11-02,159656.0
2015-11-01,156648.0
2015-10-31,155292.0
2015-10-30,164938.0
2015-10-29,165622.0
2015-10-28,154774.0
2015-10-27,141609.0
2015-10-26,126041.0
2015-10-25,128209.0
2015-10-24,140827.0
2015-10-23,146222.0
2015-10-22,149891.0
2015-10-21,161031.0
2015-10-20,138080.0
2015-10-19,136583.0
2015-10-18,120858.0
2015-10-17,139308.0
2015-10-16,143885.0
2015-10-15,157228.0
2015-10-14,136259.0
2015-10-13,133757.0
2015-10-12,126927.0
2015-10-11,105878.0
2015-10-10,128618.0
2015-10-09,119490.0
2015-10-08,139590.0
2015-10-07,139516.0
2015-10-06,142346.0
2015-10-05,117528.0
2015-10-04,100858.0
2015-10-03,132880.0
2015-10-02,135941.0
2015-10-01,135885.0
2015-09-30,141351.0
2015-09-29,139440.0
2015-09-28,130885.0
2015-09-27,107256.0
2015-09-26,119594.0
2015-09-25,130740.0
2015-09-24,124822.0
2015-09-23,134964.0
2015-09-22,136822.0
2015-09-21,124667.0
2015-09-20,105933.0
2015-09-19,117999.0
2015-09-18,188330.0
2015-09-17,241346.0
2015-09-16,169059.0
2015-09-15,165993.0
2015-09-14,163531.0
2015-09-13,139320.0
2015-09-12,153538.0
2015-09-11,165288.0
2015-09-10,122783.0
2015-09-09,128619.0
2015-09-08,126751.0
2015-09-07,119041.0
2015-09-06,106101.0
2015-09-05,137427.0
2015-09-04,95408.0
2015-09-03,137446.0
2015-09-02,137743.0
2015-09-01,140970.0
2015-08-31,117985.0
2015-08-30,92338.0
2015-08-29,113722.0
2015-08-28,121692.0
2015-08-27,116334.0
2015-08-26,125549.0
2015-08-25,125060.0
2015-08-24,117026.0
2015-08-23,93783.0
2015-08-22,107795.0
2015-08-21,116311.0
2015-08-20,116834.0
2015-08-19,122864.0
2015-08-18,120131.0
2015-08-17,108249.0
2015-08-16,86583.0
2015-08-15,106119.0
2015-08-14,107950.0
2015-08-13,118336.0
2015-08-12,115754.0
2015-08-11,116923.0
2015-08-10,110686.0
2015-08-09,88425.0
